head,relation,tail,score
RISK_LEGAL,se_propage_à,COMPANY_6,-6.89828
RISK_REPUTATION,se_propage_à,COMPANY_7,-7.3960156
RISK_REPUTATION,se_propage_à,COMPANY_6,-7.4253793
RISK_LEGAL,se_propage_à,COMPANY_7,-7.480341
COMPANY_5,impliquée_dans,EVENT_13,-7.52198
RISK_OPERATIONAL,se_propage_à,COMPANY_7,-7.5733175
RISK_LEGAL,se_propage_à,COMPANY_8,-7.5739555
RISK_OPERATIONAL,se_propage_à,COMPANY_6,-7.5780334
RISK_LEGAL,se_propage_à,COMPANY_2,-7.667716
RISK_REPUTATION,se_propage_à,COMPANY_5,-7.7202225
RISK_LEGAL,se_propage_à,COMPANY_5,-7.7277102
RISK_LEGAL,se_propage_à,COMPANY_4,-7.731582
RISK_OPERATIONAL,se_propage_à,COMPANY_2,-7.7362447
RISK_OPERATIONAL,se_propage_à,COMPANY_8,-7.7445765
COMPANY_1,impliquée_dans,EVENT_9,-7.7474976
RISK_LEGAL,se_propage_à,COMPANY_1,-7.750116
COMPANY_4,impliquée_dans,EVENT_12,-7.819846
RISK_OPERATIONAL,se_propage_à,COMPANY_1,-7.8248215
RISK_LEGAL,se_propage_à,COMPANY_3,-7.95289
RISK_REPUTATION,se_propage_à,COMPANY_2,-7.9675307
COMPANY_8,impliquée_dans,EVENT_18,-7.975332
EVENT_11,causée_par,RISK_REPUTATION,-7.989023
EVENT_18,causée_par,RISK_REPUTATION,-8.037254
COMPANY_7,impliquée_dans,EVENT_17,-8.111474
RISK_REPUTATION,se_propage_à,COMPANY_8,-8.154186
COMPANY_1,impliquée_dans,EVENT_18,-8.159297
EVENT_9,causée_par,RISK_OPERATIONAL,-8.165466
RISK_REPUTATION,se_propage_à,COMPANY_1,-8.214532
RISK_REPUTATION,se_propage_à,COMPANY_4,-8.233958
COMPANY_6,impliquée_dans,EVENT_16,-8.265575
RISK_OPERATIONAL,se_propage_à,COMPANY_5,-8.324556
COMPANY_2,impliquée_dans,EVENT_15,-8.32864
COMPANY_2,impliquée_dans,EVENT_10,-8.357498
COMPANY_1,impliquée_dans,EVENT_14,-8.362991
EVENT_18,causée_par,RISK_OPERATIONAL,-8.443764
RISK_OPERATIONAL,se_propage_à,COMPANY_3,-8.461653
RISK_REPUTATION,se_propage_à,COMPANY_3,-8.606469
RISK_OPERATIONAL,se_propage_à,COMPANY_4,-8.611246
EVENT_13,causée_par,RISK_LEGAL,-8.860439
COMPANY_3,impliquée_dans,EVENT_11,-9.046351
