ticker,company,title,date,source
BNP.PA,BNP Paribas,BNP Paribas : une faible valorisation ? - Boursier.com,2026-01-26,Boursier.com
BNP.PA,BNP Paribas,Tonne d'avantages et 270 euros d'avantages offerts : BNP Paribas fait fort - BFM,2026-01-27,BFM
BNP.PA,BNP Paribas,BNP Paribas AM conclut une bonne année de collecte - Les Echos,2026-01-26,Les Echos
BNP.PA,BNP Paribas,"Les changements de recommandations : Hermès, LVMH, BNP Paribas - Boursorama",2026-01-26,Boursorama
BNP.PA,BNP Paribas,"Cac 40 : Totalenergies, Sanofi, BNP Paribas, Axa, LVMH… Voici les groupes du CAC 40 qui ont le plus rendu de cash à leurs actionnaires en 2025 - BFM Bourse",2026-01-25,BFM Bourse
BNP.PA,BNP Paribas,OPEN END TURBO OPTIONSSCHEIN - LEGRAND : Vente du turbo CALL BNP Paribas 00P5B (+10.25%) - Zonebourse Suisse,2026-01-27,Zonebourse Suisse
BNP.PA,BNP Paribas,270 euros : c’est le montant des avantages offerts par cette banque mythique pour tout ouverture de compte - leparisien.fr,2026-01-27,leparisien.fr
BNP.PA,BNP Paribas,Avis BNP Paribas : Santander relève son objectif de cours - Idéal Investisseur,2026-01-26,Idéal Investisseur
BNP.PA,BNP Paribas,Assurance vie BNP Paribas Cardif : les taux des fonds euros restent stables en moyenne en 2025 #Taux2025 - FranceTransactions.com,2026-01-26,FranceTransactions.com
BNP.PA,BNP Paribas,Vous cherchez une banque en ligne ? BNP Paribas séduit les internautes avec ces avantages offerts - BFM,2026-01-26,BFM
GLE.PA,Société Générale,Télétravail : nouvelle passe d'armes chez Société Générale - Les Echos,2026-01-27,Les Echos
GLE.PA,Société Générale,"L’éducation, au cœur de notre engagement collectif - Groupe Société Générale",2026-01-26,Groupe Société Générale
GLE.PA,Société Générale,Société Générale : encore des ajustements - Boursier.com,2026-01-27,Boursier.com
GLE.PA,Société Générale,Fin annoncée pour la Société Générale : la banque prévoit la fermeture de plusieurs agences d’ici 2026 - letribunaldunet,2026-01-27,letribunaldunet
GLE.PA,Société Générale,"EN DIRECT - Kokou Agbo-Bloua, responsable de la recherche économique chez Société Générale CIB - BFM",2026-01-27,BFM
GLE.PA,Société Générale,Société Générale range son IA maison au placard et mise sur Microsoft Copilot - Journal du Geek,2026-01-24,Journal du Geek
GLE.PA,Société Générale,"Avis d'analystes France : UBS revalorise Société Générale et Crédit Agricole, Citi se lance sur Sanofi - Zonebourse Suisse",2026-01-27,Zonebourse Suisse
GLE.PA,Société Générale,"Société Générale : GROS chamboule-tout dans vos agences, tarifs, RIB... Ce qui change en 2026 - NextPlz",2026-01-25,NextPlz
GLE.PA,Société Générale,Avis Société Générale : Mediobanca relève sa cible - Idéal Investisseur,2026-01-27,Idéal Investisseur
GLE.PA,Société Générale,"Kokou Agbo-Bloua, responsable de la recherche économique, multi-actifs et quantitative Société Générale - 27/01 - BFM",2026-01-27,BFM
ACA.PA,Crédit Agricole,Comment Crédit Agricole veut capter l'épargne des Allemands - Les Echos,2026-01-26,Les Echos
ACA.PA,Crédit Agricole,"""C’est la goutte d’eau qui fait déborder le vase"" : le Crédit Agricole en grève pour de meilleures rémunérations - ladepeche.fr",2026-01-26,ladepeche.fr
ACA.PA,Crédit Agricole,Crédit Agricole : fait des bonds - Boursier.com,2026-01-27,Boursier.com
ACA.PA,Crédit Agricole,Le projet immobilier du Crédit agricole de Ménerbes contrarié par la justice en raison d'arbres protégés - laprovence.com,2026-01-27,laprovence.com
ACA.PA,Crédit Agricole,"Siegfried augmente la dose, Crédit Agricole capitalise… Dr. Martens trébuche - Zonebourse",2026-01-27,Zonebourse
ACA.PA,Crédit Agricole,Votez pour le Joueur du mois de janvier 2026 Crédit Agricole Alsace Vosges - Racing Club de Strasbourg Alsace,2026-01-27,Racing Club de Strasbourg Alsace
ACA.PA,Crédit Agricole,"Avis d'analystes France : UBS revalorise Société Générale et Crédit Agricole, Citi se lance sur Sanofi - Boursorama",2026-01-27,Boursorama
ACA.PA,Crédit Agricole,L’argent des clients du Crédit Agricole reste en sécurité - 24matins,2026-01-27,24matins
ACA.PA,Crédit Agricole,"Le Crédit Agricole, fort de son réseau d’incubateur le Village by CA, devient partenaire de la Technopole - lest-eclair.fr",2026-01-26,lest-eclair.fr
ACA.PA,Crédit Agricole,La grève au Crédit Agricole met-elle en péril l’épargne des clients ? On vous explique pourquoi il ne faut pas paniquer - Yahoo Actualités,2026-01-24,Yahoo Actualités
MC.PA,LVMH,"Lvmh : Lesté par le repli des ventes de la mode et maroquinerie, le bénéfice net de LVMH a chuté de 13% en 2025 - BFM Bourse",2026-01-26,BFM Bourse
MC.PA,LVMH,"Pilier de la mode chez LVMH, Dior parie sur un rebond en 2026 - Les Echos",2026-01-27,Les Echos
MC.PA,LVMH,Les ventes trimestrielles de LVMH progressent grâce à l'amélioration de la situation en Chine - Boursorama,2026-01-27,Boursorama
MC.PA,LVMH,"Des résultats 2025 en recul pour LVMH après une année ""agitée""... - Fortuneo",2026-01-27,Fortuneo
MC.PA,LVMH,LVMH confirme sa bonne résistance dans un marché du luxe dégradé - Le Figaro,2026-01-27,Le Figaro
MC.PA,LVMH,"LVMH : un résultat net de 10,9 MdsE en 2025 - Boursier.com",2026-01-27,Boursier.com
MC.PA,LVMH,LVMH : des investisseurs réclament plus de clarté sur le plan de succession de Bernard Arnault - FashionNetwork.com,2026-01-26,FashionNetwork.com
MC.PA,LVMH,LVMH : la succession de Bernard Arnault interroge - BFM,2026-01-27,BFM
MC.PA,LVMH,"Lvmh : La famille Arnault va dépasser le seuil des 50% du capital de LVMH ""dans le début de cette année"" - BFM Bourse",2026-01-26,BFM Bourse
MC.PA,LVMH,"""L'espoir que le pire soit passé"": LVMH ouvre la saison des résultats avec un recul des ventes attendu mais veut tirer un trait sur 2025 (le millésime 2026 étant prometteur dans le luxe) - BFM",2026-01-27,BFM
CS.PA,AXA,"Gilles Moëc (AXA) : ""Ce sont les petits investisseurs qui poussent l'or au plus haut !"" - Boursorama",2026-01-27,Boursorama
CS.PA,AXA,Le géant de l'assurance AXA XL et Enosis Capital concluent un partenariat « dette contre nature - Zonebourse Suisse,2026-01-27,Zonebourse Suisse
CS.PA,AXA,"Après l'intégration d'AXA IM, BNP Paribas lance un plan de départs volontaires dans la gestion d'actifs - Les Echos",2026-01-22,Les Echos
CS.PA,AXA,"Cac 40 : Totalenergies, Sanofi, BNP Paribas, Axa, LVMH… Voici les groupes du CAC 40 qui ont le plus rendu de cash à leurs actionnaires en 2025 - BFM Bourse",2026-01-25,BFM Bourse
CS.PA,AXA,AXA Élite 1 : Lina Queyroi s'attend à « un gros combat » pour le Stade Toulousain à Romagnat - Rugby Scope,2026-01-27,Rugby Scope
CS.PA,AXA,AVC : le projet RECOVER soutenu par le Fonds AXA pour le Progrès humain - Institut du Cerveau,2026-01-23,Institut du Cerveau
CS.PA,AXA,BNP Paribas entre dans le dur de l'intégration des équipes d'Axa Investment Managers - La Lettre,2026-01-22,La Lettre
CS.PA,AXA,Négociations salariales : FO signe chez AXA et sécurise les mesures générales - Force Ouvrière,2026-01-15,Force Ouvrière
CS.PA,AXA,"Après la fusion avec Axa IM dans la gestion d’actifs, BNP Paribas prépare un plan de départs volontaires - Le Figaro",2026-01-22,Le Figaro
CS.PA,AXA,"BNP Paribas prévoit de supprimer 1.200 emplois dans le monde, soit 20% de ses effectifs dans la gestion d'actifs - BFM",2026-01-22,BFM
ORA.PA,Orange,"Orange coupe définitivement l’ADSL et le téléphone de 763 communes, dont le 6ᵉ arrondissement de Lyon et Ajaccio - Le Monde.fr",2026-01-26,Le Monde.fr
ORA.PA,Orange,"CARTE. Météo : de quatre à sept départements, la vigilance orange gagne du terrain avec un deuxième phénomène à surveiller - centrepresseaveyron.fr",2026-01-27,centrepresseaveyron.fr
ORA.PA,Orange,"DIRECT. Crues et inondations : la vigilance orange en Bretagne prolongée, des records de pluie dans plusieurs communes - Ouest-France",2026-01-27,Ouest-France
ORA.PA,Orange,"Maire d'Orange inéligible : ""Nous sommes les meilleurs candidats pour reprendre la ville"", affirme le candidat RN - Radio France",2026-01-27,Radio France
ORA.PA,Orange,"Trump, l’économie du chaos : vos questions à Martine Orange - Mediapart",2026-01-26,Mediapart
ORA.PA,Orange,"Météo : trois départements des Alpes placés en vigilance orange ""avalanches"", la Bretagne maintenue en alerte crues - RTL.fr",2026-01-27,RTL.fr
ORA.PA,Orange,Trois départements placés en vigilance orange pour risque d'avalanches - BFM,2026-01-27,BFM
