Entreprise,Ticker,Date,Article,Variation (%),Impact,Source
BNP Paribas,BNP.PA,2026-01-15,BNP Paribas dénonce une cyberattaque majeure affectant ses systèmes,-3.2,Baisse (événement à risque),News Financial
Société Générale,GLE.PA,2026-01-16,Société Générale subit une perte de 50 millions dans une fraude interne,-2.1,Baisse (événement à risque),Bloomberg
Crédit Agricole,ACA.PA,2026-01-17,Crédit Agricole : nouveau scandale de conformité détecté,-1.5,Baisse (événement à risque),Reuters
AXA,CS.PA,2026-01-18,AXA annonce une hausse de ses réserves suite à une catastrophe naturelle,-0.8,Baisse (événement à risque),Reuters
TotalEnergies,TTE.PA,2026-01-19,TotalEnergies face à de nouvelles sanctions environnementales,-2.5,Baisse (événement à risque),AFP
BNP Paribas,BNP.PA,2026-01-20,BNP Paribas lance une enquête après la fuite de données client,-1.9,Baisse (événement à risque),News Financial
Société Générale,GLE.PA,2026-01-21,Société Générale déclare un risque opérationnel majeur,-1.3,Baisse (événement à risque),Bloomberg
Orange,ORA.PA,2026-01-22,Orange : rupture de service dans le réseau fibre optique,-0.5,Baisse (événement à risque),Reuters
Airbus,AIR.PA,2026-01-23,Airbus confronté à une disruption majeure de sa chaîne d'approvisionnement,-2.8,Baisse (événement à risque),AFP
LVMH,MC.PA,2026-01-24,LVMH : associée à BNP Paribas dans le scandale de cyberattaque,-0.3,Baisse (événement à risque),Reuters
