source_id,source_type,relation_type,target_id,target_type,confidence,source
COMPANY_1,COMPANY,impliquée_dans,EVENT_9,EVENT,0.85,text_matching
COMPANY_1,COMPANY,impliquée_dans,EVENT_14,EVENT,0.85,text_matching
COMPANY_1,COMPANY,impliquée_dans,EVENT_18,EVENT,0.85,text_matching
COMPANY_2,COMPANY,impliquée_dans,EVENT_10,EVENT,0.85,text_matching
COMPANY_2,COMPANY,impliquée_dans,EVENT_15,EVENT,0.85,text_matching
COMPANY_3,COMPANY,impliquée_dans,EVENT_11,EVENT,0.85,text_matching
COMPANY_4,COMPANY,impliquée_dans,EVENT_12,EVENT,0.85,text_matching
COMPANY_5,COMPANY,impliquée_dans,EVENT_13,EVENT,0.85,text_matching
COMPANY_6,COMPANY,impliquée_dans,EVENT_16,EVENT,0.85,text_matching
COMPANY_7,COMPANY,impliquée_dans,EVENT_17,EVENT,0.85,text_matching
COMPANY_8,COMPANY,impliquée_dans,EVENT_18,EVENT,0.85,text_matching
EVENT_9,EVENT,causée_par,RISK_OPERATIONAL,RISK,0.8,keyword_analysis
EVENT_11,EVENT,causée_par,RISK_REPUTATION,RISK,0.8,keyword_analysis
EVENT_13,EVENT,causée_par,RISK_LEGAL,RISK,0.8,keyword_analysis
EVENT_18,EVENT,causée_par,RISK_OPERATIONAL,RISK,0.8,keyword_analysis
EVENT_18,EVENT,causée_par,RISK_REPUTATION,RISK,0.8,keyword_analysis
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_1,COMPANY,0.7,propagation_model
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_2,COMPANY,0.7,propagation_model
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_3,COMPANY,0.7,propagation_model
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_4,COMPANY,0.7,propagation_model
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_5,COMPANY,0.7,propagation_model
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_6,COMPANY,0.7,propagation_model
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_7,COMPANY,0.7,propagation_model
RISK_OPERATIONAL,RISK,se_propage_à,COMPANY_8,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_1,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_2,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_3,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_4,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_5,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_6,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_7,COMPANY,0.7,propagation_model
RISK_REPUTATION,RISK,se_propage_à,COMPANY_8,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_1,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_2,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_3,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_4,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_5,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_6,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_7,COMPANY,0.7,propagation_model
RISK_LEGAL,RISK,se_propage_à,COMPANY_8,COMPANY,0.7,propagation_model
